型番,下側厚み(H1),筒の高さ(H2),上側厚み(H3),上側直径(P1),下側直径(P2),筒外形(P3),筒内径(P4),位置
GB-16H,3.25,1.5,3.25,25,25,16,13,0
GB-19H,3.5,1.5,3.5,26,26,19,15,36
GB-25H,3.5,2,3.5,32,32,25,20,75
GB-31H,3.75,2.5,3.75,40,40,31,25,121
GB-39H,4.25,2.5,4.25,47,47,39,30,175
GB-51H,5,3,5,60,60,51,42,239
GB-63H,5.5,3,5.5,75,75,63,50,317
